"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.8441279903942,0.848,0.21,0,"0","CCR7"
0,2.77491116988763,0.782,0.19,0,"0","LEF1"
0,2.09702752448175,0.889,0.333,0,"0","TCF7"
0,1.1000598535608,0.941,0.41,0,"0","IL7R"
0,2.09080988953805,0.74,0.218,0,"0","MAL"
0,2.59868036240442,0.683,0.173,0,"0","TRABD2A"
0,1.78058544475939,0.716,0.247,0,"0","CD27"
0,1.95186120851032,0.733,0.269,0,"0","RCAN3"
0,1.88038438557456,0.832,0.384,0,"0","PIK3IP1"
0,2.13453422451773,0.625,0.202,0,"0","LDLRAP1"
0,1.17879488811443,0.983,0.58,0,"0","LTB"
0,1.63470385759885,0.877,0.484,0,"0","NOSIP"
0,1.36707356104615,0.958,0.716,0,"0","LDHB"
0,1.16106100031989,0.967,0.867,0,"0","SARAF"
0,0.745000257827446,0.982,0.968,0,"0","RPL31"
0,1.01329317696663,0.975,0.963,0,"0","EEF1B2"
0,0.501126106734191,0.987,0.995,0,"0","RPL29"
0,0.506107857624813,0.988,0.995,0,"0","RPL37A"
0,0.725995941636945,0.988,0.995,0,"0","RPS4X"
0,0.626698996167176,0.986,0.993,0,"0","RPS16"
0,0.652423787203415,0.987,0.994,0,"0","RPL18"
0,0.756309428495226,0.989,0.995,0,"0","RPS8"
0,0.704611472559131,0.991,0.997,0,"0","RPS27"
0,0.768054920269007,0.992,0.998,0,"0","RPL13"
0,0.750205792016335,0.984,0.979,0,"0","RPSA"
0,0.700608443721148,0.991,0.996,0,"0","RPL35A"
0,0.796570560200502,0.989,0.994,0,"0","RPS13"
0,0.8240084570087,0.988,0.993,0,"0","RPS25"
0,0.701086505330563,0.992,0.997,0,"0","RPS15A"
0,0.622352709372863,0.988,0.993,0,"0","RPL36"
0,0.576157951569268,0.987,0.991,0,"0","RPL24"
0,0.793650977938516,0.989,0.993,0,"0","RPL9"
0,0.869070043951882,0.99,0.994,0,"0","RPS6"
0,0.617420268813616,0.991,0.995,0,"0","RPLP2"
0,0.923349648782325,0.994,0.997,0,"0","RPS3A"
0,0.73981140250698,0.993,0.996,0,"0","RPS14"
0,0.736348645851487,0.982,0.985,0,"0","RPL10A"
0,0.556559024869426,0.996,0.999,0,"0","EEF1A1"
0,0.51298601528257,0.993,0.996,0,"0","RPL39"
0,0.796544535059001,0.993,0.996,0,"0","RPL30"
0,0.688138018787296,0.99,0.993,0,"0","RPS3"
0,0.584022486624381,0.995,0.998,0,"0","TPT1"
0,0.72004649183168,0.99,0.993,0,"0","RPS29"
0,0.686948642024024,0.991,0.994,0,"0","RPL19"
0,0.651466621496622,0.986,0.989,0,"0","RPL38"
0,0.663975009540418,0.993,0.996,0,"0","RPS28"
0,0.805261561654217,0.988,0.99,0,"0","RPL22"
0,0.878959804283807,0.985,0.987,0,"0","RPL5"
0,0.752645610079566,0.994,0.996,0,"0","RPS27A"
0,0.706317241139343,0.994,0.996,0,"0","RPL37"
0,0.764889284659738,0.994,0.996,0,"0","RPS23"
0,0.630882579425883,0.993,0.995,0,"0","RPS18"
0,0.613045858177199,0.996,0.998,0,"0","RPL10"
0,0.570535643025936,0.993,0.995,0,"0","RPL12"
0,0.782835480090275,0.99,0.992,0,"0","RPL21"
0,0.909740073842778,0.978,0.976,0,"0","RPS5"
0,0.661715819005103,0.986,0.988,0,"0","RPL3"
0,0.730893655933405,0.996,0.997,0,"0","RPL11"
0,0.849262764889156,0.995,0.996,0,"0","RPL32"
0,0.603300947139363,0.992,0.991,0,"0","RPL14"
0,0.763064175752125,0.996,0.997,0,"0","RPL34"
0,0.939174966464643,0.996,0.997,0,"0","RPS12"
0,0.714131306730225,0.985,0.985,0,"0","RPS20"
0,0.752386256037694,0.992,0.992,0,"0","RPS21"
1.65607967365274e-307,0.744158612776481,0.97,0.964,3.14472969229918e-303,"0","RPS10"
